Category,Subcategory,Sub-subcategory
Technology,Software - Application (Horizontal),CRM & Sales
Technology,Software - Application (Horizontal),ERP
Technology,Software - Application (Horizontal),HCM/Payroll
Technology,Software - Application (Horizontal),Finance/Accounting
Technology,Software - Application (Horizontal),Procurement
Technology,Software - Application (Horizontal),E-signature
Technology,Software - Application (Horizontal),Collaboration/UCaaS
Technology,Software - Application (Horizontal),Project/PMO
Technology,Software - Application (Horizontal),Knowledge Mgmt
Technology,Software - Application (Horizontal),Contact Center/CCaaS
Technology,Software - Application (Horizontal),CPQ
Technology,Software - Application (Horizontal),Billing/RevOps
Technology,Software - Data & Analytics,BI/Visualization
Technology,Software - Data & Analytics,ELT/ETL
Technology,Software - Data & Analytics,Reverse ETL
Technology,Software - Data & Analytics,Metrics Layer/Semantic
Technology,Software - Data & Analytics,Experimentation/A-B Testing
Technology,Software - Data & Analytics,Product Analytics
Technology,Software - Data & Analytics,Customer Data Platform (CDP)
Technology,Software - Data & Analytics,Data Catalog/Lineage
Technology,Software - Data & Analytics,Data Privacy/Governance
Technology,Software - Data & Analytics,MDM
Technology,Software - Dev & DevOps,IDEs & AI IDEs
Technology,Software - Dev & DevOps,Code Hosting
Technology,Software - Dev & DevOps,CI
Technology,Software - Dev & DevOps,CD
Technology,Software - Dev & DevOps,Artifact/Registry
Technology,Software - Dev & DevOps,IaC
Technology,Software - Dev & DevOps,GitOps
Technology,Software - Dev & DevOps,Feature Flags
Technology,Software - Dev & DevOps,Testing
Technology,Software - Dev & DevOps,Observability SDKs
Technology,Software - Vertical,FinTech Software
Technology,Software - Vertical,HealthTech Software
Technology,Software - Vertical,GovTech Software
Technology,Software - Vertical,LegalTech Software
Technology,Software - Vertical,PropTech Software
Technology,Software - Vertical,EdTech Software
Technology,Software - Vertical,AgTech Software
Technology,Software - Vertical,Industrial/OT Software
Technology,Software - Vertical,Retail/eCom Suites
Technology,Software - Vertical,LogisticsTech Software
Technology,Systems Software,Operating Systems
Technology,Systems Software,Hypervisors/Virtualization
Technology,Systems Software,VDI/DaaS
Technology,Systems Software,ESB/iPaaS
Technology,Systems Software,API Gateways
Technology,Systems Software,Event Streaming
Technology,Systems Software,Message Queues
Technology,Systems Software,Data Lakes
Technology,Systems Software,Lakehouse
Technology,Systems Software,Catalog/Lineage
Technology,Databases,Relational DB
Technology,Databases,NoSQL - Document
Technology,Databases,NoSQL - Key/Value
Technology,Databases,NoSQL - Wide Column
Technology,Databases,Time-series DB
Technology,Databases,Graph DB
Technology,Databases,Vector DB
Technology,Databases,NewSQL/HTAP
Technology,Databases,Caching
Technology,Cloud Infrastructure,IaaS Compute
